Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL
Amqui ,accident,1,ICI.Radio-Canada.ca,L'enfant happé par une voiture à Amqui est mort,2020-09-21,254,https://ici.radio-canada.ca/nouvelle/1735000/mort-accident-enfant-collision-amqui-voiture-enquete
Amqui ,accident,2,L'Avant-Poste,21 juillet 2020 Accident mortel sur la route Soucy dans La Matapédia,2020-07-21,316,https://www.lavantposte.ca/article/2020/07/21/accident-mortel-sur-la-route-soucy-dans-la-matapedia
Amqui ,accident,3,L'Avant-Poste,24 septembre 2020 Capotage mortel sur la route 132 à Causapscal,2020-09-24,251,https://www.lavantposte.ca/article/2020/09/24/capotage-mortel-sur-la-route-132-a-causapscal
Amqui ,accident,4,Le Soleil - Groupe Capitales Médias,Un enfant happé par un véhicule à Amqui,2020-09-19,256,https://www.lesoleil.com/actualite/justice-et-faits-divers/un-enfant-happe-par-un-vehicule-a-amqui-b4aeb722e18baad569be2fa8c2ecda76
Amqui ,accident,5,CIMT-CHAU,Accident entre deux camions à Causapscal - TVA CIMT CHAU,2021-03-02,92,https://cimtchau.ca/nouvelles/accident-entre-deux-camions-a-causapscal/
Amqui ,accident,6,La Presse,Tué après une erreur de l'école,2020-10-27,218,https://www.lapresse.ca/actualites/justice-et-faits-divers/2020-10-27/tue-apres-une-erreur-de-l-ecole.php
Amqui ,accident,7,ICI.Radio-Canada.ca,Mort de Brandon Pineault : la coroner formule ses recommandations,2021-04-09,54,https://ici.radio-canada.ca/nouvelle/1783246/rapport-coroner-enfant-happe-mortellement-amqui-retour-ecole-route-132
Amqui ,accident,8,L'Avant-Poste,Électricité Garon & Fils fête ses 75 ans d'existence,2021-05-27,6,https://www.lavantposte.ca/article/2021/05/27/electricite-garon-fils-fete-ses-75-ans-d-existence
Amqui ,accident,9,Le Soleil - Groupe Capitales Médias,Un motoneigiste perd la vie dans La Matapédia,2021-03-20,74,https://www.lesoleil.com/actualite/en-region/un-motoneigiste-perd-la-vie-dans-la-matapedia-654245f6f09ed7339a58f14dcf5db1c0
Amqui ,accident,10,L'Avant-Poste,13 septembre 2020 Sortie de route mortelle à Sayabec,2020-09-13,262,https://www.lavantposte.ca/article/2020/09/13/sortie-de-route-mortelle-a-sayabec
Amqui ,décès OR mort,1,NecrologieCanada,ClaudeLevesque Le dimanche 7 février 1954 Le samedi 29 mai 2021,2021-06-01,1,https://necrocanada.com/deces-2021/claudelevesque-le-dimanche-7-fevrier-1954-le-samedi-29-mai-2021/
Amqui ,décès OR mort,2,NecrologieCanada,ArmandD’Astous Le mardi 21 septembre 1954 Le lundi 31 mai 2021,2021-06-02,0,https://necrocanada.com/deces-2021/armanddastous-le-mardi-21-septembre-1954-le-lundi-31-mai-2021/
Amqui ,décès OR mort,3,NecrologieCanada,Joseph-AimeGirard Le jeudi 10 décembre 1931 Le mardi 1 juin 2021,2021-06-02,0,https://necrocanada.com/deces-2021/joseph-aimegirard-le-jeudi-10-decembre-1931-le-mardi-1-juin-2021/
Amqui ,décès OR mort,4,NecrologieCanada,ClaudeLevesque 2021,2021-06-01,1,https://necrocanada.com/deces-2021/claudelevesque-2021/
Amqui ,décès OR mort,5,NecrologieCanada,GastonPerron Le samedi 16 décembre 1939 Le dimanche 15 mars 2020,2021-05-27,6,https://necrocanada.com/deces-2021/gastonperron-le-samedi-16-decembre-1939-le-dimanche-15-mars-2020/
Amqui ,décès OR mort,6,NecrologieCanada,29 juin 1929 – 14 mai 2021 Pinel eliane,2021-05-18,15,https://necrocanada.com/deces-2021/29-juin-1929-14-mai-2021pinel-eliane/
Amqui ,décès OR mort,7,NecrologieCanada,JacquesMajor 2021,2021-05-21,12,https://necrocanada.com/deces-2021/jacquesmajor-2021/
Amqui ,décès OR mort,8,NecrologieCanada,ArmandeDionne Lajoie Le dimanche 17 mai 1931 Le samedi 15 mai 2021,2021-05-19,14,https://necrocanada.com/deces-2021/armandedionne-lajoie-le-dimanche-17-mai-1931-le-samedi-15-mai-2021/
Amqui ,décès OR mort,9,NecrologieCanada,RosanneMichaud Santerre 2021,2021-05-31,2,https://necrocanada.com/deces-2021/rosannemichaud-santerre-2021/
Amqui ,décès OR mort,10,NecrologieCanada,DoriaMichaud Belanger 2021,2021-05-11,22,https://necrocanada.com/deces-2021/doriamichaud-belanger-2021/
Amqui ,incendie,1,ICI.Radio-Canada.ca,Un incendie détruit un immeuble à logements à Sainte-Florence,2021-05-12,21,https://ici.radio-canada.ca/nouvelle/1792427/incendie-sainte-florence-brasier-cause
Amqui ,incendie,2,L'Avant-Poste,29 avril 2021 Un incendie fait rage à Amqui,2021-04-29,34,https://www.lavantposte.ca/article/2021/04/29/un-incendie-fait-rage-a-amqui
Amqui ,incendie,3,iHeartRadio,La population d'Amqui est généreuse !,2021-05-07,26,https://www.iheartradio.ca/rouge-fm/rouge-fm-rimouski/nouvelles/la-population-d-amqui-est-genereuse-1.15146746
Amqui ,incendie,4,CIMT-CHAU,Vague de solidarité à la suite d'un incendie à Amqui,2021-04-30,33,https://cimtchau.ca/nouvelles/vague-de-solidarite-a-la-suite-dun-incendie-a-amqui/
Amqui ,incendie,5,ICI.Radio-Canada.ca,Amqui se mobilise pour venir en aide aux sinistrés de l'incendie survenu jeudi,2021-05-03,30,https://ici.radio-canada.ca/nouvelle/1789741/feu-incendie-amqui-locataires-logement-aide-sinistres
Amqui ,incendie,6,iHeartRadio,Un incendie éclate à Amqui,2021-04-29,34,https://www.iheartradio.ca/rouge-fm/rouge-fm-rimouski/nouvelles/un-incendie-eclate-a-amqui-1.15093889
Amqui ,incendie,7,CIMT-CHAU,Une page d'histoire se tourne dans la Matapédia,2021-05-13,20,https://cimtchau.ca/nouvelles/une-page-dhistoire-se-tourne-dans-la-matapedia/
Amqui ,incendie,8,L'Avant-Poste,Une maison détruite par les flammes à Lac-au-Saumon,2021-01-09,144,https://www.lavantposte.ca/article/2021/01/09/une-maison-detruite-par-les-flammes-a-lac-au-saumon
Amqui ,incendie,9,ICI.Radio-Canada.ca,Le nouveau garage municipal d'Amqui prêt en décembre,2020-10-25,220,https://ici.radio-canada.ca/nouvelle/1744077/garage-municipal-amqui-construction-livraison-decembre-2020
Amqui ,incendie,10,L'Avant-Poste,Trois feux à ciel ouvert en une semaine à la Baie de Charlie en période d'interdiction.,,,https://www.lavantposte.ca/article/2020/05/30/trois-feux-a-ciel-ouvert-en-une-semaine-a-la-baie-de-charlie-en-periode-d-interdiction
Amqui ,police OR Sûreté,1,ICI.Radio-Canada.ca,Saisie de stupéfiants : « un grand coup » donné à Rimouski et Amqui,2020-12-08,176,https://ici.radio-canada.ca/nouvelle/1755396/drogue-police-saisie-arrestation-rimouski-amqui
Amqui ,police OR Sûreté,2,L'Avant-Poste,Un Amquien arrêté pour trafic et possession de stupéfiants,2020-12-08,176,https://www.lavantposte.ca/article/2020/12/08/un-amquien-arrete-pour-trafic-et-possession-de-stupefiants
Amqui ,police OR Sûreté,3,,,2020-12-08,176,https://www.journaldequebec.com/2020/12/08/trafic-de-stupefiants-la-sq-effectue-une-vaste-operation-darrestations
Amqui ,police OR Sûreté,4,,,2020-12-08,176,https://monmatane.com/saisie-de-stupefiants-a-rimouski-trois-pistoles-et-amqui/
Amqui ,police OR Sûreté,5,,,2020-12-08,176,https://www.infodimanche.com/actualites/faits-divers/412441/stupefiants-arrestation-dun-homme-a-trois-pistoles
Amqui ,police OR Sûreté,6,L'Avant-Poste,29 avril 2021 Un incendie fait rage à Amqui,2021-04-29,34,https://www.lavantposte.ca/article/2021/04/29/un-incendie-fait-rage-a-amqui
Amqui ,police OR Sûreté,7,ICI.Radio-Canada.ca,L'enfant happé par une voiture à Amqui est mort,2020-09-21,254,https://ici.radio-canada.ca/nouvelle/1735000/mort-accident-enfant-collision-amqui-voiture-enquete
Amqui ,police OR Sûreté,8,iHeartRadio,Un incendie éclate à Amqui,2021-04-29,34,https://www.iheartradio.ca/rouge-fm/rouge-fm-rimouski/nouvelles/un-incendie-eclate-a-amqui-1.15093889
Amqui ,police OR Sûreté,9,iHeartRadio,DISPARUE : La Sûreté du Québec recherche Paméla Côté,2021-04-13,50,https://www.iheartradio.ca/rouge-fm/rouge-fm-rimouski/nouvelles/disparue-la-surete-du-quebec-recherche-pamela-cote-1.14981218
Amqui ,police OR Sûreté,10,ICI.Radio-Canada.ca,Le mystère plane toujours à Amqui après deux fuites d'hydrocarbure,2020-12-04,180,https://ici.radio-canada.ca/nouvelle/1754722/fuites-amqui-hydrocarbure-ministere-environnement-matapedia
Amqui ,Cégep,1,ICI.Radio-Canada.ca,"Amqui reçoit 3,3 M$ pour le gymnase au CMÉC et la rénovation du Carrefour-Sportif",2021-05-31,2,https://ici.radio-canada.ca/nouvelle/1797468/projet-gymnase-centre-etudes-collegiales-matapedien-amqui-pafirs
Amqui ,Cégep,2,Ameq en ligne,"ENvironnement JEUnesse - 17,65 tonnes de piles récupérées dans les écoles et les cégeps du Québec",2021-05-31,2,https://ameqenligne.com/article/education/categorie/generale/21/901821/17-65-tonnes-de-piles-recuperees-dans-les-ecoles-et-les-cegeps-du-quebec.html
Amqui ,Cégep,3,CIMT-CHAU,Plus de liberté dans la Matapédia - TVA CIMT CHAU,2021-06-01,1,https://cimtchau.ca/nouvelles/plus-de-liberte-dans-la-matapedia/
Amqui ,Cégep,4,L'Avant-Poste,Jours de grève pour les cégeps de la région,2021-03-30,64,https://www.lavantposte.ca/article/2021/03/30/jours-de-greve-pour-les-cegeps-de-la-region
Amqui ,Cégep,5,journal le soir,Le procès pour agression sexuelle de l'homme d'affaires Jacques Dumont ajourné au 31 août,2021-05-06,27,https://journallesoir.ca/2021/05/06/le-proces-pour-agression-sexuelle-de-lhomme-daffaires-jacques-dumont-ajourne-au-31-aout/
Amqui ,Cégep,6,ICI.Radio-Canada.ca,COVID-19 : le Centre matapédien d'études collégiales aux aguets,2020-09-13,262,https://ici.radio-canada.ca/nouvelle/1733560/cmec-centre-college-cegep-amqui-matapedia-jeunes-eclosion
Amqui ,Cégep,7,L'Avant-Poste,12 septembre 2020 COVID-19 : le Cégep d'Amqui suspend ses cours,2020-09-12,263,https://www.lavantposte.ca/article/2020/09/12/covid-19-le-cegep-d-amqui-suspend-ses-cours
Amqui ,Cégep,8,Mon Matane,Hommage au 130 infirmières et infirmiers de Matane Accueil,2021-05-12,21,https://monmatane.com/hommage-au-130-infirmieres-et-infirmiers-de-matane/
Amqui ,Cégep,9,ICI.Radio-Canada.ca,COVID-19 : Fermeture de certains services au Cégep de Rivière-du-Loup | Coronavirus,2021-03-27,67,https://ici.radio-canada.ca/nouvelle/1780404/cegep-riviere-loup-fermeture-services-covid
Amqui ,Cégep,10,Radio-Canada.ca,Camping interdit sur les plages publiques de Gaspé cet été,2021-05-04,29,https://ici.radio-canada.ca/nouvelle/1790148/camping-interdit-sur-les-plages-publiques-de-gaspe-cet-ete
Amqui ,"""Centre de services scolaire"" OR ""Commission scolaire""",1,Mon Matane,C'est la fin du Bleu&Blanc en hockey scolaire à Matane,2021-05-31,2,https://monmatane.com/cest-la-fin-du-bleublanc-en-hockey-scolaire-a-matane/
Amqui ,"""Centre de services scolaire"" OR ""Commission scolaire""",2,ICI.Radio-Canada.ca,Des captations du Mixbus pour réinventer Secondaire en spectacle,2021-05-17,16,https://ici.radio-canada.ca/nouvelle/1793400/captation-mixbus-secondaire-en-spetacle-gaspesie-bas-st-laurent
Amqui ,"""Centre de services scolaire"" OR ""Commission scolaire""",3,ICI.Radio-Canada.ca,Le Centre de services scolaire de Kamouraska–Rivière-du-Loup ferme toutes ses écoles | Coronavirus,2021-03-25,69,https://ici.radio-canada.ca/nouvelle/1780001/ecoles-fermeture-kamouraska-riviere-du-loup-covid-variants
