Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type de mot-clés
Montréal_V2,accident,1,Le Journal de Québec,Village Vacances Valcartier: un accident fait deux blessés,2021-08-03,0,https://www.journaldequebec.com/2021/08/03/village-vacances-valcartier-un-accident-fait-deux-blesses,2021-08-03 19:40:40,local
Montréal_V2,accident,2,Le Journal de Québec,Accident mortel à Saint-Félicien: une victime éjectée de son véhicule lors d'un capotage,2021-08-03,0,https://www.journaldequebec.com/2021/08/02/un-homme-lutte-pour-sa-vie-apres-une-sortie-de-route-a-saint-felicien,2021-08-03 19:40:41,local
Montréal_V2,accident,3,La Tribune - Groupe Capitales Médias,Accident mortel en moto à Saint-Césaire: la vitesse serait en cause,2021-08-03,0,https://www.latribune.ca/actualites/justice-et-faits-divers/accident-mortel-en-moto-a-saint-cesaire-la-vitesse-serait-en-cause-31e7e52336218466de4810a4b1388539,2021-08-03 19:40:41,local
Montréal_V2,accident,4,ICI.Radio-Canada.ca,Un accident coûte la vie d'un résident de Tilley Road,2021-08-02,1,https://ici.radio-canada.ca/nouvelle/1813599/un-accident-coute-la-vie-dun-resident-de-tilley-road,2021-08-03 19:40:41,local
Montréal_V2,accident,5,Le Journal de Montréal,Accident mortel chez Groupe Robert,2021-07-29,5,https://www.journaldemontreal.com/2021/07/29/accident-mortel-chez-groupe-robert,2021-08-03 19:40:41,local
Montréal_V2,accident,6,TVA Nouvelles,Plus d'une vingtaine de blessés dans un accident de train de banlieue,2021-07-31,3,https://www.tvanouvelles.ca/2021/07/31/plus-dune-vingtaine-de-blesses-dans-un-accident-de-train-de-banlieue,2021-08-03 19:40:41,local
Montréal_V2,accident,7,Le Soleil - Groupe Capitales Médias,Une femme dans la vingtaine blessée dans un accident sur le boulevard Laurier,2021-08-03,0,https://www.lesoleil.com/actualite/justice-et-faits-divers/une-femme-dans-la-vingtaine-blessee-dans-un-accident-sur-le-boulevard-laurier-0b7b5e4b53296ff0c8cf9cd898f345b6,2021-08-03 19:40:42,local
Montréal_V2,accident,8,La Voix de l'est - Groupe Capitales Médias,Grave accident de VTT | Actualités,2021-08-03,0,https://www.lavoixdelest.ca/actualites/grave-accident-de-vtt-27fbb018e22d1e948ebbbec616f43550,2021-08-03 19:40:42,local
Montréal_V2,accident,9,TVA Nouvelles,Ontario: la police publie une vidéo d'un accident spectaculaire à Durham,2021-07-29,5,https://www.tvanouvelles.ca/2021/07/29/ontario-la-police-publie-une-video-dun-accident-spectaculaire-a-durham,2021-08-03 19:40:42,local
Montréal_V2,accident,10,Anadolu Agency,Sénégal : 11 morts dans un accident de la circulation,2021-08-03,0,https://www.aa.com.tr/fr/afrique/s%C3%A9n%C3%A9gal-11-morts-dans-un-accident-de-la-circulation-/2323316,2021-08-03 19:40:42,local
Montréal_V2,accident,11,Le Journal de Montréal,Grave accident impliquant un cycliste à Sainte-Victoire-de-Sorel,2021-07-28,6,https://www.journaldemontreal.com/2021/07/28/grave-accident-impliquant-un-cycliste-a-sainte-victoire-de-sorel,2021-08-03 19:40:43,local
Montréal_V2,accident,12,ICI.Radio-Canada.ca,"Les accidents de la route causés par l'alcool n'en sont pas, selon la PPO",2021-07-31,3,https://ici.radio-canada.ca/nouvelle/1813101/alcool-au-volant-prevention-securite-terminologie,2021-08-03 19:40:43,local
Montréal_V2,accident,13,Le Journal de Montréal,RDC : 33 morts dans la collision d'un camion transportant du carburant et un autobus,2021-08-02,1,https://www.journaldemontreal.com/2021/08/02/rdc--33-morts-dans-la-collision-dun-camion-transportant-du-carburant-et-un-autobus,2021-08-03 19:40:43,local
Montréal_V2,accident,14,Le Journal de Québec,Elle croise une scène d'accident sans savoir que son fils en est la victime,2021-07-27,7,https://www.journaldequebec.com/2021/07/27/je-nai-meme-pas-ete-capable-de-regarder,2021-08-03 19:40:43,local
Montréal_V2,accident,15,ICI.Radio-Canada.ca,"Plusieurs blessés dans un accident de la route, dans l'ouest d'Ottawa",2021-08-01,2,https://ici.radio-canada.ca/nouvelle/1813365/accident-automobilistes-ottawa-blesses-ottawa-31-juillet,2021-08-03 19:40:44,local
Montréal_V2,accident,16,Le Journal de Montréal,Accident nautique: sa conjointe l'a vu sombrer dans le fleuve,2021-07-11,23,https://www.journaldemontreal.com/2021/07/11/accident-nautique-sa-conjointe-la-vu-sombrer-dans-le-fleuve-1,2021-08-03 19:40:44,local
Montréal_V2,accident,17,La Presse,Un homme perd la vie dans un accident de travail à Baie-Comeau,2021-07-19,15,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-19/un-homme-perd-la-vie-dans-un-accident-de-travail-a-baie-comeau.php,2021-08-03 19:40:44,local
Montréal_V2,accident,18,La Presse,Un accident de VTT fait un mort en Outaouais,2021-07-24,10,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-24/un-accident-de-vtt-fait-un-mort-en-outaouais.php,2021-08-03 19:40:44,local
Montréal_V2,accident,19,ICI.Radio-Canada.ca,Une femme grièvement blessée après avoir été happée par une camionnette à Saint-Ambroise,2021-07-31,3,https://ici.radio-canada.ca/nouvelle/1813233/accident-saint-ambroise-femme-blessee,2021-08-03 19:40:44,local
Montréal_V2,accident,20,Le Journal de Montréal,Une femme et un enfant blessés dans un accident de VTT,2021-07-29,5,https://www.journaldemontreal.com/2021/07/28/une-femme-et-un-enfant-blesses-dans-un-accident-de-vtt-1,2021-08-03 19:40:44,local
Montréal_V2,accident,21,Le Soleil - Groupe Capitales Médias,"Au volant de sa camionnette avec les facultés affaiblies, il cause un accident à L'Ange-Gardien",2021-08-03,0,https://www.lesoleil.com/actualite/justice-et-faits-divers/au-volant-de-sa-camionnette-avec-les-facultes-affaiblies-il-cause-un-accident-a-lange-gardien-8c1cb7f9f3847d59a515a29a8da0404b,2021-08-03 19:40:45,local
Montréal_V2,accident,22,La Presse,Accident de travail mortel pour un septuagénaire à Waterloo,2021-07-12,22,https://www.lapresse.ca/actualites/justice-et-faits-divers/2021-07-12/accident-de-travail-mortel-pour-un-septuagenaire-a-waterloo.php,2021-08-03 19:40:45,local
Montréal_V2,accident,23,Le Journal de Québec,Grave accident à Caplan: la fillette d'un an est décédée,2021-07-22,12,https://www.journaldequebec.com/2021/07/22/grave-accident-a-caplan--la-fillette-dun-an-est-decedee,2021-08-03 19:40:45,local
